Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2023-10-28,-0.05161491577913429,-0.06619744350933299,-0.07871936973029699,-0.007938086863124399,-0.046020292079334946,-0.056942804878507704,-0.09018206236078063,-0.007342485117026346
2023-10-29,-0.05159467145820605,-0.06616566420051193,-0.07866664475636505,-0.007937492411233635,-0.036584094157087584,-0.0471573428496723,-0.07908060392171139,-0.006677796453728198
2023-10-30,-0.051574427137277806,-0.06613388489169088,-0.07861391978243311,-0.00793689795934287,-0.03676554333718812,-0.046544774767145296,-0.08344041128799065,-0.007394966033632334
2023-10-31,-0.05155418281634957,-0.06610210558286982,-0.07856119480850117,-0.007936303507452107,0.17818263688865246,0.2220815079403209,-0.09895366915663695,-0.009133726071488924
2023-11-01,-0.05153393849542132,-0.06607032627404875,-0.07850846983456923,-0.007935709055561343,-0.035869345491103516,-0.01926062681833959,-0.17107119633593498,-0.007523343864046286
2023-11-02,-0.05151369417449308,-0.0660385469652277,-0.07845574486063729,-0.00793511460367058,-0.026016959368251692,-0.02617610499457245,-0.1474350440464388,-0.007118176897935056
2023-11-03,-0.05149344985356481,-0.06600676765640667,-0.07840301988670534,-0.007934520151779817,-0.008094603203578014,-0.00849992497445664,-0.08367272171557234,-0.006854168074992168
2023-11-04,-0.051448649503462694,-0.06600590784961251,-0.07834139417870911,-0.007945814737704327,-0.020725750608619725,-0.023555056979037734,-0.09397153072012857,-0.007118673128238729
2023-11-05,-0.05140384915336057,-0.06600504804281834,-0.07827976847071287,-0.007945220285813563,-0.07162077864188651,-0.08705385989889104,-0.09087810381756256,-0.008021501647592544
2023-11-06,-0.05135904880325844,-0.06600418823602419,-0.07929934444354832,-0.0079446258339228,-0.08038777841153712,-0.1012683656485876,-0.0798119798749122,-0.00730745428211808
2023-11-07,-0.05131424845315632,-0.06600332842923003,-0.07996947769082767,-0.007944031382032035,-0.035895328455579564,-0.04913285855312128,-0.06748499851879505,-0.0068561330874451435
