Date,BTC,ETH,SNT,EUR
01/03/2024,61140.04,3347.3371,0.04759020027,0.923
29/02/2024,62078.01,3382.0145,0.04506511391,0.92521
28/02/2024,57042.48,3248.3363,0.04387732453,0.92261
27/02/2024,54560.01,3181.7246,0.0436829681,0.92108
26/02/2024,51691.06,3111.1108,0.04326974146,0.92133
25/02/2024,51568.1,3002.0591,0.04278107588,0.92305
24/02/2024,50751.71,2929.9059,0.04377650182,0.92305
23/02/2024,51284.45,2975.2429,0.04241182071,0.92362
22/02/2024,51775.9,2966.6962,0.04116530919,0.92483
21/02/2024,52294.99,3016.9065,0.04137757641,0.9246
20/02/2024,51797.82,2954.8817,0.04267678855,0.924465
19/02/2024,52132.71,2889.2776,0.0437758697,0.928505
18/02/2024,51647.99,2799.8852,0.04153415048,0.92785
17/02/2024,52124.11,2811.4698,0.04137215069,0.92785
16/02/2024,51883.3,2832.5108,0.04121366454,0.928745
15/02/2024,51837.11,2784.5215,0.04145925446,0.929705
14/02/2024,49676,2647.8073,0.04028048488,0.931695
13/02/2024,49946.97,2672.7136,0.03943782975,0.93314
12/02/2024,48273.97,2514.0675,0.03963351223,0.928215
11/02/2024,47703.97,2506.405,0.03945767107,0.92725
10/02/2024,47195.14,2500.1485,0.03892253837,0.92725
09/02/2024,45369.94,2433.1705,0.03917543806,0.927605
08/02/2024,44419.55,2433.9434,0.03887327684,0.92864
07/02/2024,43110.05,2383.4195,0.03793956601,0.92853
06/02/2024,42699.98,2305.9946,0.03755149282,0.930045
05/02/2024,42588.21,2298.9154,0.0371486452,0.931685
04/02/2024,43000.02,2309.6633,0.0381166933,0.92535
03/02/2024,43170,2320.032,0.03877851846,0.92535
02/02/2024,43066.98,2312.2804,0.03881477836,0.92745
01/02/2024,42604.11,2291.8539,0.03845281053,0.920445
31/01/2024,43006.66,2352.1,0.03802810325,0.92108
30/01/2024,43188.23,2319.5817,0.03922305761,0.92244
29/01/2024,41947.97,2260.5421,0.04009122182,0.925425
28/01/2024,42121.73,2278.7711,0.03924332747,0.9205
27/01/2024,41822.6,2271.6789,0.04031777677,0.9205
26/01/2024,39947.42,2222.7326,0.04062730453,0.920355
25/01/2024,40069.56,2238.7946,0.03818125625,0.922745
24/01/2024,39920.76,2247.3169,0.03869322737,0.9173
23/01/2024,39588.08,2318.7719,0.0377673766,0.923495
22/01/2024,41598.12,2468.2272,0.03818369678,0.91814
21/01/2024,41697.86,2477.1429,0.04135104181,0.9162
20/01/2024,41633.22,2490.8598,0.04168746297,0.9162
19/01/2024,41339.94,2473.1251,0.04245304405,0.918835
18/01/2024,42760.1,2533.5184,0.04114865763,0.920545
17/01/2024,43156.79,2590.1208,0.04195560762,0.921195
16/01/2024,42541.13,2515.9556,0.04094975689,0.919095
15/01/2024,41845.43,2480.7728,0.0394264127,0.9132
14/01/2024,42827.96,2575.3412,0.03890974372,0.9122
13/01/2024,42849.69,2529.5063,0.04065818308,0.9122
